Branch,Customer Name,Invoice,Work Order, QW Total , SAP Total , Discrepancy ,Cause,Dept Impacted,Date
DEN,Amazon,V10326881,SM1136863-2,78.46,52.31,-24.00,Incorrect Labor Rate,Service,07/15/21
DEN,Amazon,V10308783,W1061069,326.77,151.20,-175.57,Insufficient PO Funds,Service,01/06/21
DEN,Amazon,V10308770,W1063310,590.52,376.01,-214.51,Insufficient PO Funds,Service,01/06/21
DEN,Amazon,V10308762,W1063387,315.00,247.50,-67.50,Insufficient PO Funds,Service,01/06/21
DEN,Amazon,V10308768,W1063751,723.83,608.83,-115.00,Insufficient PO Funds,Service,01/06/21
DEN,Amazon,V10308760,W1064119,202.50,135.00,-67.50,Insufficient PO Funds,Service,01/06/21
DEN,Amazon,V10308779,W1064600,225.00,157.50,-67.50,Insufficient PO Funds,Service,01/06/21
DEN,Amazon,V10308780,W1065106,135.00,90.00,-45.00,Insufficient PO Funds,Service,01/06/21
DEN,Amazon,V10310563,W1064116,2000.00,1999.80,-0.20,Insufficient PO Funds,Service,01/25/21
DEN,Amazon,V10308790,W1064058,240.78,229.72,-11.06,Part Pricing - Raymond,Service,01/06/21
DEN,Amazon,V10308788,W1065047,354.66,353.10,-1.56,Part Pricing - Raymond,Service,01/06/21
DEN,Amazon,V10308920,W1056065,5165.64,5165.63,-0.01,Part Pricing - Raymond,Service,01/07/21
DEN,Amazon,V10309580,W1064053,381.78,349.72,-11.06,Part Pricing - Raymond,Service,01/14/21
DEN,Amazon,V10309573,W1064056,330.78,319.72,-11.06,Part Pricing - Raymond,Service,01/14/21
DEN,Amazon,V10309578,W1065427,376.53,304.01,-72.52,Part Pricing - Raymond,Service,01/14/21
DEN,Amazon,V10309715,W1060921,811.50,770.50,-41.00,Part Pricing - Raymond,Service,01/15/21
DEN,Amazon,V10309716,W1061004,541.50,500.50,-41.00,Part Pricing - Raymond,Service,01/15/21
DEN,Amazon,V10310851,W1066801,246.78,235.72,-11.06,Part Pricing - Raymond,Service,01/27/21
DEN,Amazon,V10310856,W1066805,336.78,325.72,-11.06,Part Pricing - Raymond,Service,01/27/21
DEN,Amazon,V10310864,W1066806,173.28,162.22,-11.06,Part Pricing - Raymond,Service,01/27/21
DEN,Amazon,V10311282,W1064783,2990.25,2748.44,-150.91,Part Pricing - Raymond,Service,01/29/21
DEN,Amazon,V10311137,W1066807,592.47,574.24,-18.23,Part Pricing - Raymond,Service,01/29/21
DEN,Amazon,V10311138,W1066808,518.97,500.74,-18.23,Part Pricing - Raymond,Service,01/29/21
DEN,Amazon,V10311133,W1067067,262.07,255.33,-6.74,Part Pricing - Raymond,Service,01/29/21
DEN,Amazon,V10311321,W1066802,291.78,280.72,-11.06,Part Pricing - Raymond,Service,02/01/21
DEN,Amazon,V10311319,W1066803,321.44,310.38,-11.06,Part Pricing - Raymond,Service,02/01/21
DEN,Amazon,V10311320,W1066804,231.44,220.38,-11.06,Part Pricing - Raymond,Service,02/01/21
DEN,Amazon,V10311696,W1066264,216.02,196.44,-19.58,Part Pricing - Raymond,Service,02/04/21
DEN,Amazon,V10311699,W1066267,268.00,248.42,-19.58,Part Pricing - Raymond,Service,02/04/21
DEN,Amazon,V10311698,W1066268,216.05,196.47,-19.58,Part Pricing - Raymond,Service,02/04/21
DEN,Amazon,V10311697,W1066270,261.02,241.44,-19.58,Part Pricing - Raymond,Service,02/04/21
DEN,Amazon,V10311705,W1067530,392.50,374.88,-17.62,Part Pricing - Raymond,Service,02/04/21
DEN,Amazon,V10311704,W1067531,190.00,172.38,-17.62,Part Pricing - Raymond,Service,02/04/21
DEN,Amazon,V10312336,W1066696,301.06,281.48,-19.58,Part Pricing - Raymond,Service,02/11/21
DEN,Amazon,V10312335,W1066699,90.88,90.72,-0.16,Part Pricing - Raymond,Service,02/11/21
DEN,Amazon,V10312390,W1067581,380.57,373.83,-6.74,Part Pricing - Raymond,Service,02/11/21
DEN,Amazon,V10312488,W1065375,887.90,812.66,-75.24,Part Pricing - Raymond,Service,02/12/21
DEN,Amazon,V10312472,W1066266,216.02,196.44,-19.58,Part Pricing - Raymond,Service,02/12/21
DEN,Amazon,V10312473,W1066269,216.02,196.44,-19.58,Part Pricing - Raymond,Service,02/12/21
DEN,Amazon,V10312476,W1066693,166.07,146.49,-19.58,Part Pricing - Raymond,Service,02/12/21
DEN,Amazon,V10312503,W1066762,842.90,767.66,-75.24,Part Pricing - Raymond,Service,02/12/21
DEN,Amazon,V10312768,W1066689,166.06,146.48,-19.58,Part Pricing - Raymond,Service,02/16/21
DEN,Amazon,V10312767,W1066702,315.88,315.72,-0.16,Part Pricing - Raymond,Service,02/16/21
DEN,Amazon,V10313888,W1066692,213.63,209.67,-0.26,Part Pricing - Raymond,Service,02/26/21
DEN,Amazon,V10313890,W1068447,497.26,481.76,-15.50,Part Pricing - Raymond,Service,02/26/21
DEN,Amazon,V10314167,W1068488,503.63,478.24,-25.39,Part Pricing - Raymond,Service,03/02/21
DEN,Amazon,V10314165,W1068668,635.36,566.10,-69.26,Part Pricing - Raymond,Service,03/02/21
DEN,Amazon,V10314168,W1068669,256.74,254.64,-2.10,Part Pricing - Raymond,Service,03/02/21
DEN,Amazon,V10314308,W1065201,491.82,465.50,-26.32,Part Pricing - Raymond,Service,03/04/21
DEN,Amazon,V10314541,W1068606,586.47,568.24,-18.23,Part Pricing - Raymond,Service,03/05/21
DEN,Amazon,V10314546,W1069004,641.04,573.56,-67.48,Part Pricing - Raymond,Service,03/05/21
DEN,Amazon,V10315722,W1068918,592.92,572.92,-20.00,Part Pricing - Raymond,Service,03/18/21
DEN,Amazon,V10315723,W1069558,1322.15,1263.64,-58.51,Part Pricing - Raymond,Service,03/18/21
DEN,Amazon,V10315770,W1068919,529.47,511.24,-18.23,Part Pricing - Raymond,Service,03/19/21
DEN,Amazon,V10316269,W1069503,730.52,670.78,-59.74,Part Pricing - Raymond,Service,03/24/21
DEN,Amazon,V10316376,SM1131949-2,435.80,413.38,-0.86,Part Pricing - Raymond,Service,03/25/21
DEN,Amazon,V10316447,SM1130350-2,186.66,180.02,-6.64,Part Pricing - Raymond,Service,03/26/21
DEN,Amazon,V10316471,SM1131888-2,294.19,277.29,-16.90,Part Pricing - Raymond,Service,03/26/21
DEN,Amazon,V10316476,W1069921,475.08,370.56,-104.52,Part Pricing - Raymond,Service,03/26/21
DEN,Amazon,V10316477,W1069953,309.70,273.30,-36.40,Part Pricing - Raymond,Service,03/26/21
